type,state,county,city,in_state_rate,out_state_rate,provider_company,date_created
STATE,AK,,,$2.10,$2.10,securus,03-14-2023
STATE,AL,,,$0.75,$0.75,securus,03-14-2023
STATE,AR,,,$2.10,$2.10,securus,03-14-2023
STATE,AZ,,,$1.13,$1.54,ics,03-14-2023
STATE,CA,,,$0.00,$0.00,viapath,03-14-2023
STATE,CO,,,$1.20,$1.20,viapath,03-14-2023
STATE,CT,,,$0.00,$0.00,securus,03-14-2023
STATE,DE,,,$0.60,$0.60,viapath,03-14-2023
STATE,FL,,,$2.10,$2.10,securus,03-14-2023
STATE,GA,,,$2.10,$2.10,securus,03-14-2023
STATE,HI,,,$1.05,$1.05,viapath,03-14-2023
STATE,IA,,,$1.65,$1.65,viapath,03-14-2023
STATE,ID,,,$1.20,$1.20,ics,03-14-2023
STATE,IL,,,$0.14,$0.14,securus,03-14-2023
STATE,IN,,,$2.10,$2.10,viapath,03-14-2023
STATE,KS,,,$2.10,$2.10,ics,03-14-2023
STATE,KY,,,$2.10,$2.10,securus,03-14-2023
STATE,LA,,,$2.10,$2.10,securus,03-14-2023
STATE,MA,,,$1.80,$1.95,securus,03-14-2023
STATE,MD,,,$0.45,$0.45,viapath,03-14-2023
STATE,ME,,,$1.35,$1.35,viapath,03-14-2023
STATE,MI,,,$1.35,$1.35,viapath,03-14-2023
STATE,MN,,,$0.75,$0.75,viapath,03-14-2023
STATE,MO,,,$0.75,$0.75,securus,03-14-2023
STATE,MS,,,$0.30,$0.30,viapath,03-14-2023
STATE,MT,,,$1.50,$1.50,ics,03-14-2023
STATE,NC,,,$1.50,$1.50,viapath,03-14-2023
STATE,ND,,,$1.19,$1.19,securus,03-14-2023
STATE,NE,,,$0.45,$0.45,viapath,03-14-2023
STATE,NH,,,$0.15,$0.15,viapath,03-14-2023
STATE,NJ,,,$0.60,$0.60,viapath,03-14-2023
STATE,NM,,,$1.20,$1.20,securus,03-14-2023
STATE,NV,,,$1.65,$1.65,securus,03-14-2023
STATE,NY,,,$0.60,$0.60,securus,03-14-2023
STATE,OH,,,$0.30,$0.30,viapath,03-14-2023
STATE,OK,,,$2.10,$2.10,securus,03-14-2023
STATE,OR,,,$1.35,$1.35,ics,03-14-2023
STATE,PA,,,$0.89,$0.89,securus,03-14-2023
STATE,RI,,,$0.44,$0.44,securus,03-14-2023
STATE,SC,,,$0.90,$0.90,viapath,03-14-2023
STATE,SD,,,$0.90,$0.90,viapath,03-14-2023
STATE,TN,,,$1.65,$1.65,viapath,03-14-2023
STATE,TX,,,$0.90,$0.90,securus,03-14-2023
STATE,UT,,,$1.50,$1.50,viapath,03-14-2023
STATE,VA,,,$0.60,$0.60,viapath,03-14-2023
STATE,VT,,,$0.60,$1.05,viapath,03-14-2023
STATE,WA,,,$1.35,$1.35,viapath,03-14-2023
STATE,WI,,,$0.90,$0.90,ics,03-14-2023
STATE,WV,,,$0.60,$0.60,viapath,03-14-2023
STATE,WY,,,$1.65,$1.65,ics,03-14-2023
STATE,FBOP,,,$0.00,$0.00,viapath,03-14-2023
